filename,width,height,class,xmin,ymin,xmax,ymax,source
IMG_2638.jpg,3024,4032,butter,572,1222,1011,1777,none
IMG_20210212_041126.jpg,4608,2176,orange,2663,688,3017,1092,none
orange.jpg,3024,4032,orange,227,2291,857,2981,none
IMG_2628.jpg,3024,4032,mint,794,2855,2400,3672,none
orange.jpg,3024,4032,orange,822,1436,1352,1996,none
IMG_2617.jpg,3024,4032,pepper,1967,416,2944,1444,none
orange.jpg,3024,4032,orange,1652,2021,2227,2596,none
IMG_2638.jpg,3024,4032,butter,744,2944,1222,3605,none
IMG_2617.jpg,3024,4032,pepper,2006,1422,2906,2260,none
IMG_2637.jpg,3024,4032,pot,72,1499,1700,2799,none
IMG_20210212_041154.jpg,4608,2176,tomato,3158,519,3690,919,none
orange.jpg,3024,4032,orange,347,216,882,826,none
orange.jpg,3024,4032,orange,2092,2836,2617,3451,none
IMG_2638.jpg,3024,4032,butter,1422,1710,2267,2272,none
IMG_20210212_042707.jpg,4608,2176,orange,2499,1047,3113,1660,none
IMG_2635.jpg,3024,4032,pot,56,1305,1417,2899,none
orange.jpg,3024,4032,orange,2117,386,2627,1076,none
IMG_2635.jpg,3024,4032,pot,2106,399,3006,1177,none
IMG_2628.jpg,3024,4032,mint,850,1366,1994,1944,none
orange.jpg,3024,4032,orange,1292,376,1877,1026,none
IMG_2638.jpg,3024,4032,butter,306,2994,767,3649,none
IMG_2637.jpg,3024,4032,pot,550,488,1750,1372,none
orange.jpg,3024,4032,orange,227,1011,887,1676,none
orange.jpg,3024,4032,orange,1672,1396,2277,2011,none
orange.jpg,3024,4032,orange,1222,2321,1782,2881,none
orange.jpg,3024,4032,orange,1747,821,2242,1386,none
IMG_2638.jpg,3024,4032,butter,739,666,1339,1016,none
IMG_2635.jpg,3024,4032,pot,256,399,1300,1349,none
IMG_20210212_042707.jpg,4608,2176,orange,945,1,1645,688,none
orange.jpg,3024,4032,orange,1297,1101,1847,1676,none
IMG_20210212_041111.jpg,4608,2176,orange,2427,1215,2731,1483,none
IMG_20210212_041111.jpg,4608,2176,orange,1722,1242,2136,1601,none
IMG_20210212_041111.jpg,4608,2176,orange,1717,488,2149,869,none
IMG_2638.jpg,3024,4032,butter,956,1672,1433,2405,none
IMG_20210212_041126.jpg,4608,2176,orange,3499,1238,3881,1665,none
orange.jpg,3024,4032,orange,1237,1706,1797,2291,none
orange.jpg,3024,4032,orange,1227,2931,1707,3466,none
